provincia,tipo de averia y emergencia,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,ano
hato mayor,falta de energia,409,390,425,461,783,710,673,676,637,571,518,445,2024
hato mayor,níveles de tension,41,35,51,48,80,90,65,72,56,54,56,44,2024
hato mayor,probable defecto o falla,1,1,2,2,2,1,3,0,1,4,3,0,2024
hato mayor,riego de vida,60,39,62,51,110,85,92,70,64,61,66,49,2024
la altagracia,falta de energia,1063,1050,1238,1310,2057,2541,2129,2193,2083,2002,1527,1163,2024
la altagracia,níveles de tension,112,128,141,167,227,222,179,189,180,169,156,116,2024
la altagracia,probable defecto o falla,0,1,1,1,3,2,2,1,1,1,5,5,2024
la altagracia,riego de vida,142,142,191,192,259,326,272,257,223,270,161,135,2024
la romana,falta de energia,1197,1186,1306,1447,2017,2132,2109,1967,2053,1833,1511,1338,2024
la romana,níveles de tension,175,152,212,250,263,267,284,268,263,213,211,188,2024
la romana,probable defecto o falla,4,3,4,3,4,2,2,2,2,4,2,2,2024
la romana,riego de vida,112,140,127,162,222,249,268,261,244,243,168,130,2024
monte plata,falta de energia,447,434,619,522,940,846,766,701,698,601,803,759,2024
monte plata,níveles de tension,46,38,78,67,89,68,52,56,60,47,80,80,2024
monte plata,probable defecto o falla,5,11,5,6,12,14,11,2,15,14,10,6,2024
monte plata,riego de vida,123,132,167,91,190,161,186,154,131,142,119,103,2024
san pedro de macoris,falta de energia,851,825,918,978,1457,1796,1751,1756,1569,1570,1188,1147,2024
san pedro de macoris,níveles de tension,107,122,109,123,187,201,208,185,171,178,143,128,2024
san pedro de macoris,probable defecto o falla,0,2,5,2,2,9,11,2,2,4,5,1,2024
san pedro de macoris,riego de vida,103,99,139,120,232,245,277,240,236,255,148,141,2024
santo domingo,falta de energia,9195,9953,11279,11466,15075,14814,11711,14150,13320,12960,11655,11263,2024
santo domingo,níveles de tension,1955,1819,2127,2405,2968,2818,2225,2483,2247,2397,2190,2145,2024
santo domingo,probable defecto o falla,21,35,26,25,37,43,48,38,25,29,31,26,2024
santo domingo,riego de vida,889,860,947,848,1339,1324,1228,1186,1098,1175,899,796,2024
distrito nacional,falta de energia,2199,2393,2778,2907,3391,3104,3017,3400,3171,3869,2969,2375,2025
distrito nacional,níveles de tension,390,464,524,516,543,613,657,675,629,836,685,577,2025
distrito nacional,probable defecto o falla,2,5,7,6,17,16,12,9,10,12,5,1,2025
distrito nacional,riego de vida,196,189,205,203,262,270,263,339,357,362,250,165,2025
el seibo,falta de energia,389,390,409,567,640,571,600,669,620,776,465,416,2025
el seibo,níveles de tension,45,43,46,46,62,65,93,65,67,58,49,33,2025
el seibo,probable defecto o falla,1,1,5,3,4,7,2,4,3,3,0,1,2025
el seibo,riego de vida,41,50,55,65,70,66,72,67,56,88,53,49,2025
hato mayor,falta de energia,405,422,410,570,644,663,601,815,701,754,495,461,2025
hato mayor,níveles de tension,38,58,54,69,65,78,105,106,80,116,65,74,2025
hato mayor,probable defecto o falla,1,3,8,1,1,5,5,5,6,3,1,2,2025
